full_name,first_initial_last,first_name,last_name,team_abbr,common_nicknames,player_id
Terry Rozier III,T. Rozier III,Terry,Rozier III,FA,,P0259
Lindy Waters III,L. Waters III,Lindy,Waters III,FA,,P0260
Lonnie Walker IV,L. Walker IV,Lonnie,Walker IV,FA,,P0261
Ricky Council IV,R. Council IV,Ricky,Council IV,FA,,P0262
Oso Ighodaro,O. Ighodaro,Oso,Ighodaro,MIL,,P0263
Joe Ingles,J. Ingles,Joe,Ingles,FA,,P0264
Brandon Ingram,B. Ingram,Brandon,Ingram,DET,,P0265
Harrison Ingram,H. Ingram,Harrison,Ingram,FA,,P0266
Kyrie Irving,K. Irving,Kyrie,Irving,PHX,,P0267
Jonathan Isaac,J. Isaac,Jonathan,Isaac,PHX,,P0268
Jaden Ivey,J. Ivey,Jaden,Ivey,PHX,,P0269
GG Jackson,G. Jackson,GG,Jackson,MIL,,P0270
Isaiah Jackson,I. Jackson,Isaiah,Jackson,CHI,,P0271
Reggie Jackson,R. Jackson,Reggie,Jackson,GSW,,P0272
Quenton Jackson,Q. Jackson,Quenton,Jackson,FA,,P0273
Trayce Jackson-Davis,T. Jackson-Davis,Trayce,Jackson-Davis,PHX,,P0274
Kasparas Jakučionis,K. Jakučionis,Kasparas,Jakučionis,NOP,,P0275
LeBron James,L. James,LeBron,James,SAS,,P0276
Sion James,S. James,Sion,James,CHA,,P0277
DaQuan Jeffries,D. Jeffries,DaQuan,Jeffries,FA,,P0278
Daniss Jenkins,D. Jenkins,Daniss,Jenkins,DEN,,P0279
Ty Jerome,T. Jerome,Ty,Jerome,FA,,P0280
Isaiah Joe,I. Joe,Isaiah,Joe,GSW,,P0281
Jalen Johnson,J. Johnson,Jalen,Johnson,ATL,,P0282
Cameron Johnson,C. Johnson,Cameron,Johnson,CLE,,P0283
Tre Johnson,T. Johnson,Tre,Johnson,NOP,,P0284
Keon Johnson,K. Johnson,Keon,Johnson,PHX,,P0285
Keldon Johnson,K. Johnson,Keldon,Johnson,CLE,,P0286
AJ Johnson,A. Johnson,AJ,Johnson,FA,,P0287
James Johnson,J. Johnson,James,Johnson,FA,,P0288
Nikola Jokić,N. Jokić,Nikola,Jokić,BKN,,P0289
Kam Jones,K. Jones,Kam,Jones,FA,,P0290
Kai Jones,K. Jones,Kai,Jones,FA,,P0291
Tre Jones,T. Jones,Tre,Jones,FA,,P0292
Herbert Jones,H. Jones,Herbert,Jones,WAS,,P0293
Colby Jones,C. Jones,Colby,Jones,FA,,P0294
Isaac Jones,I. Jones,Isaac,Jones,FA,,P0295
Dillon Jones,D. Jones,Dillon,Jones,FA,,P0296
Spencer Jones,S. Jones,Spencer,Jones,FA,,P0297
Deandre Jordan,D. Jordan,Deandre,Jordan,DAL,,P0298
Cory Joseph,C. Joseph,Cory,Joseph,FA,,P0299
Nikola Jović,N. Jović,Nikola,Jović,PHI,,P0300
Bronny James Jr,B. James Jr,Bronny,James Jr,MIL,,P0301
Kevin Porter Jr,K. Porter Jr,Kevin,Porter Jr,FA,,P0302
Larry Nance Jr,L. Nance Jr,Larry,Nance Jr,CLE,,P0303
David Duke Jr,D. Duke Jr,David,Duke Jr,MIA,,P0304
Kelly Oubre Jr,K. Oubre Jr,Kelly,Oubre Jr,UTA,,P0306
Andre Jackson Jr,A. Jackson Jr,Andre,Jackson Jr,SAC,,P0307
Wendell Moore Jr,W. Moore Jr,Wendell,Moore Jr,FA,,P0308
Michael Porter Jr,M. Porter Jr,Michael,Porter Jr,LAL,,P0309
Jabari Smith Jr,J. Smith Jr,Jabari,Smith Jr,ORL,,P0310
Wendell Carter Jr,W. Carter Jr,Wendell,Carter Jr,ORL,,P0311
Derrick Jones Jr,D. Jones Jr,Derrick,Jones Jr,NYK,,P0312
Walter Clayton Jr,W. Clayton Jr,Walter,Clayton Jr,NOP,,P0313
Jaren Jackson Jr,J. Jackson Jr,Jaren,Jackson Jr,DET,,P0314
Terrence Shannon Jr,T. Shannon Jr,Terrence,Shannon Jr,TOR,,P0315
Gary Trent Jr,G. Trent Jr,Gary,Trent Jr,MEM,,P0316
Tim Hardaway Jr.,T. Hardaway Jr.,Tim,Hardaway Jr.,TOR,,P0317
Scotty Pippen Jr.,S. Pippen Jr.,Scotty,Pippen Jr.,FA,,P0318
Brandon Boston Jr.,B. Boston Jr.,Brandon,Boston Jr.,FA,,P0319
Craig Porter Jr.,C. Porter Jr.,Craig,Porter Jr.,FA,,P0320
Kenyon Martin Jr.,K. Martin Jr.,Kenyon,Martin Jr.,FA,,P0321
Nick Smith Jr.,N. Smith Jr.,Nick,Smith Jr.,FA,,P0322
Vince Williams Jr.,V. Williams Jr.,Vince,Williams Jr.,FA,,P0323
Kevin McCullar Jr.,K. McCullar Jr.,Kevin,McCullar Jr.,FA,,P0324
Ron Harper Jr.,R. Harper Jr.,Ron,Harper Jr.,FA,,P0325
TyTy Washington Jr.,T. Washington Jr.,TyTy,Washington Jr.,MIN,,P0326
Johnny Juzang,J. Juzang,Johnny,Juzang,FA,,P0327
Ryan Kalkbrenner,R. Kalkbrenner,Ryan,Kalkbrenner,NOP,,P0328
Yuki Kawamura,Y. Kawamura,Yuki,Kawamura,FA,,P0329
Kylor Kelley,K. Kelley,Kylor,Kelley,FA,,P0330
Miles Kelly,M. Kelly,Miles,Kelly,FA,,P0331
Luke Kennard,L. Kennard,Luke,Kennard,FA,,P0332
Walker Kessler,W. Kessler,Walker,Kessler,DAL,,P0333
Braxton Key,B. Key,Braxton,Key,FA,,P0334
Corey Kispert,C. Kispert,Corey,Kispert,GSW,,P0335
Maxi Kleber,M. Kleber,Maxi,Kleber,FA,,P0336
Bobi Klintman,B. Klintman,Bobi,Klintman,FA,,P0337
Dalton Knecht,D. Knecht,Dalton,Knecht,ORL,,P0338
Kon Knueppel,K. Knueppel,Kon,Knueppel,NOP,,P0339
Tyler Kolek,T. Kolek,Tyler,Kolek,FA,,P0340
Christian Koloko,C. Koloko,Christian,Koloko,UTA,,P0341
John Konchar,J. Konchar,John,Konchar,FA,,P0342
Luke Kornet,L. Kornet,Luke,Kornet,TOR,,P0343
Vit Krejci,V. Krejci,Vit,Krejci,MEM,,P0344
Jonathan Kuminga,J. Kuminga,Jonathan,Kuminga,UTA,,P0345
Kyle Kuzma,K. Kuzma,Kyle,Kuzma,IND,,P0346
Jake LaRavia,J. LaRavia,Jake,LaRavia,FA,,P0347
Zach LaVine,Z. LaVine,Zach,LaVine,CHI,,P0348
Skal Labissiere,S. Labissiere,Skal,Labissiere,FA,,P0349
Jock Landale,J. Landale,Jock,Landale,BOS,,P0350
Chaz Lanier,C. Lanier,Chaz,Lanier,LAL,,P0351
Pelle Larsson,P. Larsson,Pelle,Larsson,BKN,,P0352
AJ Lawson,A. Lawson,AJ,Lawson,FA,,P0353
Caris LeVert,C. LeVert,Caris,LeVert,ATL,,P0354
Damion Lee,D. Lee,Damion,Lee,FA,,P0355
Alex Len,A. Len,Alex,Len,FA,,P0357
Kawhi Leonard,K. Leonard,Kawhi,Leonard,IND,,P0358
Malevy Leons,M. Leons,Malevy,Leons,FA,,P0359
Maxwell Lewis,M. Lewis,Maxwell,Lewis,FA,,P0360
E.J. Liddell,E. Liddell,E.J.,Liddell,MIA,,P0361
Damian Lillard,D. Lillard,Damian,Lillard,BKN,,P0362
Isaiah Livers,I. Livers,Isaiah,Livers,FA,,P0363
Chris Livingston,C. Livingston,Chris,Livingston,FA,,P0364
Kevon Looney,K. Looney,Kevon,Looney,DAL,,P0365
Brook Lopez,B. Lopez,Brook,Lopez,DEN,,P0366
Kevin Love,K. Love,Kevin,Love,ORL,,P0367
Caleb Love,C. Love,Caleb,Love,FA,,P0368
Seth Lundy,S. Lundy,Seth,Lundy,FA,,P0370
Trey Lyles,T. Lyles,Trey,Lyles,FA,,P0371
Khaman Maluach,K. Maluach,Khaman,Maluach,WAS,,P0372
Sandro Mamukelashvili,S. Mamukelashvili,Sandro,Mamukelashvili,FA,,P0373
Terance Mann,T. Mann,Terance,Mann,FA,,P0374
Chris Manon,C. Manon,Chris,Manon,FA,,P0375
Lauri Markkanen,L. Markkanen,Lauri,Markkanen,UTA,,P0376
Naji Marshall,N. Marshall,Naji,Marshall,FA,,P0377
Caleb Martin,C. Martin,Caleb,Martin,FA,,P0378
Alijah Martin,A. Martin,Alijah,Martin,DET,,P0379
Garrison Mathews,G. Mathews,Garrison,Mathews,FA,,P0380
Bennedict Mathurin,B. Mathurin,Bennedict,Mathurin,DAL,,P0381
Karlo Matković,K. Matković,Karlo,Matković,GSW,,P0382
Tyrese Maxey,T. Maxey,Tyrese,Maxey,LAL,,P0383
Miles McBride,M. McBride,Miles,McBride,BKN,,P0384
Jared McCain,J. McCain,Jared,McCain,UTA,,P0385
Mac McClung,M. McClung,Mac,McClung,FA,,P0386
C.J. McCollum,C. McCollum,C.J.,McCollum,POR,,P0387
T.J. McConnell,T. McConnell,T.J.,McConnell,PHI,,P0388
Javante McCoy,J. McCoy,Javante,McCoy,FA,,P0389
Jaden McDaniels,J. McDaniels,Jaden,McDaniels,PHI,,P0390
Jalen McDaniels,J. McDaniels,Jalen,McDaniels,FA,,P0391
Doug McDermott,D. McDermott,Doug,McDermott,FA,,P0392
Bryce McGowens,B. McGowens,Bryce,McGowens,FA,,P0393
Jordan McLaughlin,J. McLaughlin,Jordan,McLaughlin,FA,,P0394
Liam McNeely,L. McNeely,Liam,McNeely,MEM,,P0395
Jack McVeigh,J. McVeigh,Jack,McVeigh,FA,,P0396
De'Anthony Melton,D. Melton,De'Anthony,Melton,ORL,,P0397
Sam Merrill,S. Merrill,Sam,Merrill,HOU,,P0398
Vasilije Micic,V. Micic,Vasilije,Micic,FA,,P0399
Khris Middleton,K. Middleton,Khris,Middleton,DEN,,P0400
Brandon Miller,B. Miller,Brandon,Miller,LAL,,P0401
Leonard Miller,L. Miller,Leonard,Miller,FA,,P0402
Jordan Miller,J. Miller,Jordan,Miller,FA,,P0403
Patty Mills,P. Mills,Patty,Mills,FA,,P0404
Shake Milton,S. Milton,Shake,Milton,FA,,P0405
Justin Minaya,J. Minaya,Justin,Minaya,POR,,P0407
Riley Minix,R. Minix,Riley,Minix,FA,,P0408
Josh Minott,J. Minott,Josh,Minott,PHX,,P0409
Yves Missi,Y. Missi,Yves,Missi,MIL,,P0410
Davion Mitchell,D. Mitchell,Davion,Mitchell,MIL,,P0411
Ajay Mitchell,A. Mitchell,Ajay,Mitchell,DEN,,P0412
Donovan Mitchell,D. Mitchell,Donovan,Mitchell,UTA,,P0413
Evan Mobley,E. Mobley,Evan,Mobley,CLE,,P0414
Isaiah Mobley,I. Mobley,Isaiah,Mobley,FA,,P0415
Jonathan Mogbo,J. Mogbo,Jonathan,Mogbo,TOR,,P0416
Malik Monk,M. Monk,Malik,Monk,DET,,P0417
Moses Moody,M. Moody,Moses,Moody,POR,,P0418
Taze Moore,T. Moore,Taze,Moore,FA,,P0419
Ja Morant,J. Morant,Ja,Morant,CHA,,P0420
Monte Morris,M. Morris,Monte,Morris,FA,,P0421
Jamal Murray,J. Murray,Jamal,Murray,BOS,,P0422
Kris Murray,K. Murray,Kris,Murray,PHI,,P0423
Keegan Murray,K. Murray,Keegan,Murray,POR,,P0424
Dejounte Murray,D. Murray,Dejounte,Murray,CLE,,P0425
Collin Murray-Boyles,C. Murray-Boyles,Collin,Murray-Boyles,NYK,,P0426
Svi Mykhailiuk,S. Mykhailiuk,Svi,Mykhailiuk,UTA,,P0427
Pete Nance,P. Nance,Pete,Nance,FA,,P0428
Eli Ndiaye,E. Ndiaye,Eli,Ndiaye,FA,,P0429
Andrew Nembhard,A. Nembhard,Andrew,Nembhard,MIA,,P0430
Ryan Nembhard,R. Nembhard,Ryan,Nembhard,FA,,P0431
Aaron Nesmith,A. Nesmith,Aaron,Nesmith,SAS,,P0432
Asa Newell,A. Newell,Asa,Newell,NOP,,P0433
Tristen Newton,T. Newton,Tristen,Newton,FA,,P0434
Georges Niang,G. Niang,Georges,Niang,MIN,,P0435
Yanic Konan Niederhauser,Y. Konan Niederhauser,Yanic,Konan Niederhauser,TOR,,P0436
Daishen Nix,D. Nix,Daishen,Nix,FA,,P0437
Zeke Nnaji,Z. Nnaji,Zeke,Nnaji,DET,,P0438
Jaylen Nowell,J. Nowell,Jaylen,Nowell,FA,,P0439
Jusuf Nurkić,J. Nurkić,Jusuf,Nurkić,POR,,P0440
Royce O'Neale,R. O'Neale,Royce,O'Neale,BOS,,P0441
Jahlil Okafor,J. Okafor,Jahlil,Okafor,DET,,P0442
Chuma Okeke,C. Okeke,Chuma,Okeke,ORL,,P0443
Josh Okogie,J. Okogie,Josh,Okogie,PHX,,P0444
Onyeka Okongwu,O. Okongwu,Onyeka,Okongwu,SAC,,P0445
Isaac Okoro,I. Okoro,Isaac,Okoro,DAL,,P0446
Lachlan Olbrich,L. Olbrich,Lachlan,Olbrich,FA,,P0447
Quincy Olivari,Q. Olivari,Quincy,Olivari,FA,,P0448
Kelly Olynyk,K. Olynyk,Kelly,Olynyk,SAC,,P0449
Eugene Omoruyi,E. Omoruyi,Eugene,Omoruyi,FA,,P0450
Chris Paul,C. Paul,Chris,Paul,FA,,P0451
Cameron Payne,C. Payne,Cameron,Payne,FA,,P0452
Elfrid Payton,E. Payton,Elfrid,Payton,FA,,P0453
Micah Peavy,M. Peavy,Micah,Peavy,CHA,,P0454
Noah Penda,N. Penda,Noah,Penda,TOR,,P0455
Taelon Peter,T. Peter,Taelon,Peter,FA,,P0456
Julian Phillips,J. Phillips,Julian,Phillips,FA,,P0457
Jalen Pickett,J. Pickett,Jalen,Pickett,FA,,P0458
Daeqwon Plowden,D. Plowden,Daeqwon,Plowden,FA,,P0459
Mason Plumlee,M. Plumlee,Mason,Plumlee,ATL,,P0460
Brandin Podziemski,B. Podziemski,Brandin,Podziemski,TOR,,P0461
Jakob Poeltl,J. Poeltl,Jakob,Poeltl,SAS,,P0462
Jordan Poole,J. Poole,Jordan,Poole,BOS,,P0463
Bobby Portis,B. Portis,Bobby,Portis,BOS,,P0464
Kristaps Porziņģis,K. Porziņģis,Kristaps,Porziņģis,HOU,,P0465
Quinten Post,Q. Post,Quinten,Post,MEM,,P0466
Micah Potter,M. Potter,Micah,Potter,FA,,P0467
Drake Powell,D. Powell,Drake,Powell,SAC,,P0468
Norman Powell,N. Powell,Norman,Powell,MIN,,P0469
Dwight Powell,D. Powell,Dwight,Powell,FA,,P0470
Jason Preston,J. Preston,Jason,Preston,FA,,P0471
Taurean Prince,T. Prince,Taurean,Prince,MEM,,P0472
Payton Pritchard,P. Pritchard,Payton,Pritchard,FA,,P0473
Tyrese Proctor,T. Proctor,Tyrese,Proctor,CLE,,P0474
Olivier-Maxence Prosper,O. Prosper,Olivier-Maxence,Prosper,FA,,P0475
Zyon Pullin,Z. Pullin,Zyon,Pullin,FA,,P0476
Derik Queen,D. Queen,Derik,Queen,PHI,,P0477
Trevelin Queen,T. Queen,Trevelin,Queen,FA,,P0478
Neemias Queta,N. Queta,Neemias,Queta,GSW,,P0479
Immanuel Quickley,I. Quickley,Immanuel,Quickley,DET,,P0480
Lester Quinones,L. Quinones,Lester,Quinones,FA,,P0481
Julius Randle,J. Randle,Julius,Randle,ORL,,P0482
Maxime Raynaud,M. Raynaud,Maxime,Raynaud,HOU,,P0483
Duop Reath,D. Reath,Duop,Reath,FA,,P0484
Austin Reaves,A. Reaves,Austin,Reaves,CHA,,P0485
Cam Reddish,C. Reddish,Cam,Reddish,DET,,P0486
Paul Reed,P. Reed,Paul,Reed,CHA,,P0487
Alex Reese,A. Reese,Alex,Reese,MIA,,P0488
Antonio Reeves,A. Reeves,Antonio,Reeves,FA,,P0489
Naz Reid,N. Reid,Naz,Reid,MIL,,P0490
Jared Rhoden,J. Rhoden,Jared,Rhoden,FA,,P0491
Will Richard,W. Richard,Will,Richard,DAL,,P0492
Nick Richards,N. Richards,Nick,Richards,NYK,,P0493
Josh Richardson,J. Richardson,Josh,Richardson,CHI,,P0494
Will Riley,W. Riley,Will,Riley,NOP,,P0495
Zaccharie Risacher,Z. Risacher,Zaccharie,Risacher,ATL,,P0496
Liam Robbins,L. Robbins,Liam,Robbins,FA,,P0497
Mitchell Robinson,M. Robinson,Mitchell,Robinson,DET,,P0498
Duncan Robinson,D. Robinson,Duncan,Robinson,FA,,P0499
Orlando Robinson,O. Robinson,Orlando,Robinson,FA,,P0500
Jeremiah Robinson-Earl,J. Robinson-Earl,Jeremiah,Robinson-Earl,IND,,P0501
David Roddy,D. Roddy,David,Roddy,FA,,P0502
Ryan Rollins,R. Rollins,Ryan,Rollins,MIN,,P0503
Jackson Rowe,J. Rowe,Jackson,Rowe,FA,,P0504
Rayan Rupert,R. Rupert,Rayan,Rupert,FA,,P0505
D'Angelo Russell,D. Russell,D'Angelo,Russell,PHI,,P0506
Matt Ryan,M. Ryan,Matt,Ryan,LAL,,P0507
Domantas Sabonis,D. Sabonis,Domantas,Sabonis,POR,,P0509
Tidjane Salaün,T. Salaün,Tidjane,Salaün,BOS,,P0510
Hunter Sallis,H. Sallis,Hunter,Sallis,FA,,P0511
Kobe Sanders,K. Sanders,Kobe,Sanders,BKN,,P0512
Adama Sanogo,A. Sanogo,Adama,Sanogo,FA,,P0513
Gui Santos,G. Santos,Gui,Santos,FA,,P0514
Ben Saraf,B. Saraf,Ben,Saraf,WAS,,P0515
Dario Saric,D. Saric,Dario,Saric,FA,,P0516
Alex Sarr,A. Sarr,Alex,Sarr,WAS,,P0517
Marcus Sasser,M. Sasser,Marcus,Sasser,FA,,P0518
Baylor Scheierman,B. Scheierman,Baylor,Scheierman,FA,,P0519
Dennis Schröder,D. Schröder,Dennis,Schröder,FA,,P0520
Mark Sears,M. Sears,Mark,Sears,FA,,P0521
Brice Sensabaugh,B. Sensabaugh,Brice,Sensabaugh,FA,,P0522
Collin Sexton,C. Sexton,Collin,Sexton,SAC,,P0523
Landry Shamet,L. Shamet,Landry,Shamet,FA,,P0524
Shaedon Sharpe,S. Sharpe,Shaedon,Sharpe,HOU,,P0525
Day'Ron Sharpe,D. Sharpe,Day'Ron,Sharpe,TOR,,P0526
Jamal Shead,J. Shead,Jamal,Shead,FA,,P0527
Reed Sheppard,R. Sheppard,Reed,Sheppard,MIA,,P0528
Ben Sheppard,B. Sheppard,Ben,Sheppard,SAC,,P0529
Max Shulga,M. Shulga,Max,Shulga,FA,,P0530
Pascal Siakam,P. Siakam,Pascal,Siakam,POR,,P0531
Tristan Da Silva,T. Da Silva,Tristan,Da Silva,MIN,,P0532
Ben Simmons,B. Simmons,Ben,Simmons,BKN,,P0533
Anfernee Simons,A. Simons,Anfernee,Simons,SAS,,P0534
KJ Simpson,K. Simpson,KJ,Simpson,FA,,P0535
Jericho Sims,J. Sims,Jericho,Sims,HOU,,P0536
Javon Small,J. Small,Javon,Small,FA,,P0537
Marcus Smart,M. Smart,Marcus,Smart,DEN,,P0538
Jalen Smith,J. Smith,Jalen,Smith,ORL,,P0539
