full_name,first_initial_last,first_name,last_name,team_abbr,common_nicknames,player_id
Christian Wood,C. Wood,Christian,Wood,DEN,,P0633
Delon Wright,D. Wright,Delon,Wright,SAC,,P0634
Guerschon Yabusele,G. Yabusele,Guerschon,Yabusele,NYK,,P0635
Cui Yongxi,C. Yongxi,Cui,Yongxi,FA,,P0636
Trae Young,T. Young,Trae,Young,DAL,,P0637
Jahmir Young,J. Young,Jahmir,Young,FA,,P0638
Chris Youngblood,C. Youngblood,Chris,Youngblood,FA,,P0639
Cody Zeller,C. Zeller,Cody,Zeller,FA,,P0640
Rocco Zikarsky,R. Zikarsky,Rocco,Zikarsky,ATL,,P0641
Ivica Zubac,I. Zubac,Ivica,Zubac,TOR,,P0642
Alperen Şengün,A. Şengün,Alperen,Şengün,LAL,,P0643
Kyle Lowry,K. Lowry,Kyle,Lowry,TOR,,kyle-lowry
Jase Richardson,J. Richardson,Jase,Richardson,FA,,player-1763056405578-jbt4172ft
Patrick Baldwin Jr,P. Baldwin Jr,Patrick,Baldwin Jr,LAL,,player-1763059761659-ninrul5ko
Jaime Jaquez Jr,J. Jaquez Jr,Jaime,Jaquez Jr,IND,,player-1763146102151-ahitem8ua
Amari Williams,A. Williams,Amari,Williams,UTA,,player-1763165114182
Patrick Williams ,P. Williams ,Patrick,Williams ,CHA,,player-1763481026846
Tre Mann,T. Mann,Tre,Mann,MIL,,player-1763566982266
Grant Williams,G. Williams,Grant,Williams,FA,,player-1763729939827
Tyler Smith,T. Smith,Tyler,Smith,CHA,,player-1763842969411
Javonte Green,J. Green,Javonte,Green,FA,,player-1763919631925
Cody Williams,C. Williams,Cody,Williams,FA,,player-1763925555300
Ariel Hukporti,A. Hukporti,Ariel,Hukporti,FA,,player_1762984491757_tmc3fo7cv
Boo Buie III,B. Buie III,Boo,Buie III,FA,,player_1763006483076_t0ofa80ap
