id,name,nba_player_id,overall,photo_url,player_page_url
"P0121","Ryan Dunn","1642346","70","https://cdn.nba.com/headshots/nba/latest/1040x760/1642346.png","https://www.nba.com/player/1642346"
"P0122","Kevin Durant","201142","94","https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png","https://www.nba.com/player/201142"
"P0123","Jalen Duren","1631105","","https://cdn.nba.com/headshots/nba/latest/1040x760/1631105.png","https://www.nba.com/player/1631105"
"P0124","Nikola Đurišić","1642365","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642365.png","https://www.nba.com/player/1642365"
"P0125","Tari Eason","1631106","76","https://cdn.nba.com/headshots/nba/latest/1040x760/1631106.png","https://www.nba.com/player/1631106"
"P0126","Zach Edey","1641744","79","https://cdn.nba.com/headshots/nba/latest/1040x760/1641744.png","https://www.nba.com/player/1641744"
"P0127","VJ Edgecombe","1642845","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642845.png","https://www.nba.com/player/1642845"
"P0128","Anthony Edwards","1630162","95","https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png","https://www.nba.com/player/1630162"
"P0129","Justin Edwards","1642348","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642348.png","https://www.nba.com/player/1642348"
"P0130","Keon Ellis","1631165","76","https://cdn.nba.com/headshots/nba/latest/1040x760/1631165.png","https://www.nba.com/player/1631165"
"P0131","Joel Embiid","203954","","https://cdn.nba.com/headshots/nba/latest/1040x760/203954.png","https://www.nba.com/player/203954"
"P0132","Noa Essengue","1642855","72","https://cdn.nba.com/headshots/nba/latest/1040x760/1642855.png","https://www.nba.com/player/1642855"
"P0133","Tyson Etienne","1630623","70","https://cdn.nba.com/headshots/nba/latest/1040x760/1630623.png","https://www.nba.com/player/1630623"
"P0134","Drew Eubanks","1629234","74","https://cdn.nba.com/headshots/nba/latest/1040x760/1629234.png","https://www.nba.com/player/1629234"
"P0135","Tosan Evbuomwan","1641787","71","https://cdn.nba.com/headshots/nba/latest/1040x760/1641787.png","https://www.nba.com/player/1641787"
"P0136","Danté Exum","203957","75","https://cdn.nba.com/headshots/nba/latest/1040x760/203957.png","https://www.nba.com/player/203957"
"P0137","Jeremiah Fears","1642847","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642847.png","https://www.nba.com/player/1642847"
"P0138","Kyle Filipowski","1642271","78","https://cdn.nba.com/headshots/nba/latest/1040x760/1642271.png","https://www.nba.com/player/1642271"
"P0139","Dorian Finney-Smith","1627827","76","https://cdn.nba.com/headshots/nba/latest/1040x760/1627827.png","https://www.nba.com/player/1627827"
"P0140","Cooper Flagg","1642843","82","https://cdn.nba.com/headshots/nba/latest/1040x760/1642843.png","https://www.nba.com/player/1642843"
"P0141","Rasheer Fleming","1642853","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642853.png","https://www.nba.com/player/1642853"
"P0142","Trentyn Flowers","1642280","69","https://cdn.nba.com/headshots/nba/latest/1040x760/1642280.png","https://www.nba.com/player/1642280"
"P0143","Simone Fontecchio","1631323","72","https://cdn.nba.com/headshots/nba/latest/1040x760/1631323.png","https://www.nba.com/player/1631323"
"P0144","De'Aaron Fox","1628368","85","https://cdn.nba.com/headshots/nba/latest/1040x760/1628368.png","https://www.nba.com/player/1628368"
"P0145","Enrique Freeman","1642402","69","https://cdn.nba.com/headshots/nba/latest/1040x760/1642402.png","https://www.nba.com/player/1642402"
"P0146","Johnny Furphy","1642277","","https://cdn.nba.com/headshots/nba/latest/1040x760/1642277.png","https://www.nba.com/player/1642277"
"P0147","Daniel Gafford","1629655","","https://cdn.nba.com/headshots/nba/latest/1040x760/1629655.png","https://www.nba.com/player/1629655"
"P0148","Myron Gardner","1642066","68","https://cdn.nba.com/headshots/nba/latest/1040x760/1642066.png","https://www.nba.com/player/1642066"
"P0149","Darius Garland","1629636","87","https://cdn.nba.com/headshots/nba/latest/1040x760/1629636.png","https://www.nba.com/player/1629636"
"P0150","Luka Garza","1630568","73","https://cdn.nba.com/headshots/nba/latest/1040x760/1630568.png","https://www.nba.com/player/1630568"
"P0151","Keyonte George","1641718","78","https://cdn.nba.com/headshots/nba/latest/1040x760/1641718.png","https://www.nba.com/player/1641718"
"P0152","Kyshawn George","1642273","70","https://cdn.nba.com/headshots/nba/latest/1040x760/1642273.png","https://www.nba.com/player/1642273"
"P0153","Paul George","202331","","https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png","https://www.nba.com/player/202331"
"P0154","Josh Giddey","1630581","82","https://cdn.nba.com/headshots/nba/latest/1040x760/1630581.png","https://www.nba.com/player/1630581"
"P0155","Shai Gilgeous-Alexander","1628983","98","https://cdn.nba.com/headshots/nba/latest/1040x760/1628983.png","https://www.nba.com/player/1628983"
"P0156","Anthony Gill","1630264","72","https://cdn.nba.com/headshots/nba/latest/1040x760/1630264.png","https://www.nba.com/player/1630264"
"P0157","Collin Gillespie","1631221","69","https://cdn.nba.com/headshots/nba/latest/1040x760/1631221.png","https://www.nba.com/player/1631221"
"P0158","Rudy Gobert","203497","84","https://cdn.nba.com/headshots/nba/latest/1040x760/203497.png","https://www.nba.com/player/203497"
"P0159","Vladislav Goldin","1642884","68","https://cdn.nba.com/headshots/nba/latest/1040x760/1642884.png","https://www.nba.com/player/1642884"
"P0160","Hugo González","1642864","70","https://cdn.nba.com/headshots/nba/latest/1040x760/1642864.png","https://www.nba.com/player/1642864"
"P0161","Jordan Goodwin","1630692","74","https://cdn.nba.com/headshots/nba/latest/1040x760/1630692.png","https://www.nba.com/player/1630692"
"P0162","Aaron Gordon","203932","82","https://cdn.nba.com/headshots/nba/latest/1040x760/203932.png","https://www.nba.com/player/203932"
"P0163","Eric Gordon","201569","","https://cdn.nba.com/headshots/nba/latest/1040x760/201569.png","https://www.nba.com/player/201569"
"P0164","Jerami Grant","203924","","https://cdn.nba.com/headshots/nba/latest/1040x760/203924.png","https://www.nba.com/player/203924"
"P0165","AJ Green","1631260","76","https://cdn.nba.com/headshots/nba/latest/1040x760/1631260.png","https://www.nba.com/player/1631260"
"P0166","Draymond Green","203110","81","https://cdn.nba.com/headshots/nba/latest/1040x760/203110.png","https://www.nba.com/player/203110"
"P0167","Jalen Green","1630224","82","https://cdn.nba.com/headshots/nba/latest/1040x760/1630224.png","https://www.nba.com/player/1630224"
"P0168","Javonte Green","1629750","","https://cdn.nba.com/headshots/nba/latest/1040x760/1629750.png","https://www.nba.com/player/1629750"
"P0169","Jeff Green","201145","73","https://cdn.nba.com/headshots/nba/latest/1040x760/201145.png","https://www.nba.com/player/201145"
"P0170","Josh Green","1630182","73","https://cdn.nba.com/headshots/nba/latest/1040x760/1630182.png","https://www.nba.com/player/1630182"
"P0171","Quentin Grimes","1629656","","https://cdn.nba.com/headshots/nba/latest/1040x760/1629656.png","https://www.nba.com/player/1629656"
"P0172","Mouhamed Gueye","1631243","74","https://cdn.nba.com/headshots/nba/latest/1040x760/1631243.png","https://www.nba.com/player/1631243"
